epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.9291,1.69062,3.41703,2.06174,0.76823,0.19231,0.24545,0.12899,1.51654,6.88147,2.32784,8.335e-05,8.335e-05,8.335e-05
2,184.835,1.51127,2.19938,1.9524,0.93864,0.38462,0.69348,0.38798,1.5561,5.80949,2.48192,0.000179739,0.000179739,0.000179739
3,240.549,1.41812,1.73245,1.80873,0.99205,0.42308,0.45406,0.16838,2.01378,3.25587,2.85683,0.000272168,0.000272168,0.000272168
